uid,target
648249344,0
645333001,0
651165709,0
649232401,0
639664147,0
651264025,0
644513821,0
650543134,0
649297952,0
651853859,0
650018851,0
644055075,0
649429034,0
651755565,0
650379310,0
646709294,0
650608690,0
648511538,0
642121781,0
640450615,0
651296828,0
642842685,0
649232451,0
652050508,0
646381646,0
652542031,0
651067477,0
640614487,0
641957978,0
650838118,0
640778343,0
643629164,0
643956845,0
651296888,0
650543224,0
649298042,0
647528570,0
646938745,0
645005433,0
642089084,0
642449541,0
651231366,0
643235975,0
650477704,0
647856265,0
646316170,0
651591822,0
651460751,0
650838161,0
643235987,0
642318483,0
649592982,0
648282263,0
648282269,0
644743327,0
647987360,0
640221345,0
640024736,0
649265316,0
649855141,0
652017839,0
639500463,0
645365937,0
641302706,0
640090289,0
642089144,0
643956922,0
645202110,0
650903747,0
645464263,0
643203275,0
642023627,0
641564878,0
651788496,0
643956944,0
639598815,0
639598817,0
646447336,0
649003246,0
641958132,0
647758070,0
641827069,0
640418051,0
647299334,0
643498248,0
641138955,0
647495951,0
642285848,0
651559193,0
650576154,0
649888027,0
647758111,0
639729951,0
651886881,0
649363746,0
650379556,0
642416932,0
644186410,0
639533359,0
645464369,0
651788596,0
649101620,0
650641718,0
650477880,0
643891515,0
651755837,0
651428165,0
651002191,0
648642895,0
651723091,0
640483669,0
651428182,0
649429340,0
651428191,0
649986400,0
645431654,0
649953644,0
648184176,0
652181873,0
645923184,0
644743538,0
640647536,0
648249717,0
641237370,0
640516476,0
645661056,0
650772871,0
647790984,0
646316423,0
651526542,0
650445198,0
649265554,0
649822613,0
652083606,0
652345751,0
644907417,0
644219290,0
640909721,0
644841886,0
642744752,0
650543538,0
647823795,0
651559350,0
641499581,0
649003455,0
641237443,0
649003462,0
645431753,0
650969547,0
640614861,0
647102928,0
649429457,0
644317648,0
646873558,0
651526615,0
645300694,0
640090595,0
639959529,0
646545901,0
649921006,0
642253297,0
646087156,0
644088308,0
645595650,0
648708613,0
648610311,0
649363978,0
651756047,0
642089493,0
651330074,0
646119969,0
643498534,0
640942631,0
644481577,0
646808110,0
648970799,0
641630769,0
643203643,0
642351677,0
640057923,0
650019397,0
650445383,0
648872521,0
644186698,0
650609231,0
643105363,0
646709844,0
650871386,0
642548314,0
650347100,0
651559517,0
649691745,0
643924587,0
649429615,0
646316662,0
651723383,0
644645494,0
651788927,0
645694087,0
651559562,0
651723405,0
649953940,0
640811671,0
643170969,0
649364123,0
646840988,0
651887263,0
650871456,0
640516768,0
649691814,0
645464745,0
643334825,0
647496368,0
640844465,0
640287410,0
652444341,0
651264699,0
650871483,0
647365311,0
644481728,0
648250051,0
646841028,0
644383428,0
646283974,0
642286284,0
647332557,0
648938192,0
650707667,0
640221909,0
650379995,0
644907743,0
645923553,0
648839908,0
652083946,0
645661421,0
650019566,0
649200366,0
650642176,0
643040002,0
642253571,0
649233156,0
645202704,0
644350736,0
649429778,0
640779029,0
648741655,0
651002652,0
650117918,0
649986849,0
649593633,0
646906659,0
652411699,0
649429811,0
645366583,0
639796030,0
651756358,0
641270607,0
643040083,0
642941781,0
640779093,0
651035482,0
645464925,0
650019687,0
640189289,0
650543978,0
644383594,0
651690860,0
650838899,0
