uid,has_photo,sex,has_mobile,followers_count,contacts,relatives,relation,personal,activities,music,movies,tv,books,about,quotes,albums,audios,followers,friends,pages,photos,subscriptions,videos,clips_followers,age,city,country
647501465,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
647730842,1,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,87,15,,0,0,,,2,1
641078945,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,41,1,51,286,1,1,0,52,38,,
640456354,0,2,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,20,1,0,0,1,52,,
643569318,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,19,0,0,0,0,17,,
652318378,0,2,1,1,0,1,1,1,1,1,1,1,1,1,1,0,14,1,10,2,0,0,0,11,,110,1
650450602,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,7,0,0,5,1,0,8,0,,,
647009966,1,2,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,6,11,1,0,1,6,58,,
646256311,0,2,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
639669944,1,2,1,124,0,1,1,1,1,1,1,1,1,1,1,0,0,124,1,26,1,53,0,125,19,,
642324155,0,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,24,15,,0,0,,17,,
642029244,0,2,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
641832635,0,2,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,22,0,0,0,2,29,,
650516162,1,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,7,,14,0,,25,,
647599810,1,2,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,2,44,8,0,0,2,48,123,1
650811078,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,14,1,79,9,23,4,8,80,,1,1
643045063,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,23,18,0,0,1,36,,
639538889,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,61,83,13,0,18,,,
647009995,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,18,,0,0,,30,,
641341133,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
644159182,0,2,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,7,0,0,1,0,14,,
649303760,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
649139920,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
641308370,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
640685777,1,1,1,10,0,1,1,1,1,1,1,1,1,1,1,1,8,10,0,15,20,0,0,10,33,42,1
643012308,0,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,13,,1,0,,33,,
650909397,1,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,69,94,,1,0,,22,2,1
652056278,0,2,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,8,0,1,0,0,43,,
647861975,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
645142231,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,9,44,2,0,8,10,47,,
639866590,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
649271013,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,4,18,0,0,29,142,0,16,0,27,1,1
651564783,1,2,1,5,0,1,1,1,1,1,1,1,1,1,1,0,0,5,4,15,6,26,0,9,34,,
